2026-07-11 20:17:51 | INFO     | jarvis | __init__:53 | Ollama client initialized - URL: http://localhost:11434, Model: llama2
2026-07-11 20:17:57 | INFO     | jarvis | __init__:20 | Path validator initialized with workspace: /home/edb/JarvisWorkspace
2026-07-11 20:17:57 | INFO     | jarvis | __init__:24 | Safety whitelist initialized
2026-07-11 20:17:57 | INFO     | jarvis | __init__:20 | Path validator initialized with workspace: /home/edb/JarvisWorkspace
2026-07-11 20:17:57 | INFO     | jarvis | __init__:24 | Safety whitelist initialized
2026-07-11 20:17:57 | INFO     | jarvis | __init__:42 | Safety validator initialized
2026-07-11 20:17:57 | INFO     | jarvis | __init__:66 | Database initialized at: /home/edb/JarvisWorkspace/jarvis.db
2026-07-11 20:17:57 | INFO     | jarvis | __init__:66 | Database initialized at: /home/edb/JarvisWorkspace/jarvis.db
2026-07-11 20:17:57 | INFO     | jarvis | initialize_schema:160 | Database schema initialized
2026-07-11 20:17:57 | INFO     | jarvis | __init__:49 | History manager initialized
2026-07-11 20:17:57 | INFO     | jarvis | __init__:75 | Tool registry initialized
2026-07-11 20:17:57 | INFO     | jarvis | __init__:20 | Path validator initialized with workspace: /home/edb/JarvisWorkspace
2026-07-11 20:17:57 | INFO     | jarvis | __init__:24 | Safety whitelist initialized
2026-07-11 20:17:57 | INFO     | jarvis | __init__:42 | Safety validator initialized
2026-07-11 20:17:57 | INFO     | jarvis | __init__:66 | Database initialized at: /home/edb/JarvisWorkspace/jarvis.db
2026-07-11 20:17:57 | INFO     | jarvis | initialize_schema:160 | Database schema initialized
2026-07-11 20:17:57 | INFO     | jarvis | __init__:49 | History manager initialized
2026-07-11 20:17:57 | INFO     | jarvis | __init__:69 | Tool dispatcher initialized
2026-07-11 20:17:57 | INFO     | jarvis | register_all_tools:14 | Registering all tools...
2026-07-11 20:17:57 | INFO     | jarvis | register_all_tools:35 | Registered 11 tools
2026-07-11 20:17:57 | INFO     | jarvis | register_all_tools:14 | Registering all tools...
2026-07-11 20:17:57 | INFO     | jarvis | register_all_tools:35 | Registered 11 tools
2026-07-11 20:17:57 | INFO     | jarvis | __init__:75 | Tool registry initialized
2026-07-11 20:17:57 | INFO     | jarvis | __init__:20 | Path validator initialized with workspace: /home/edb/JarvisWorkspace
2026-07-11 20:17:57 | INFO     | jarvis | __init__:24 | Safety whitelist initialized
2026-07-11 20:17:57 | INFO     | jarvis | __init__:42 | Safety validator initialized
2026-07-11 20:17:57 | INFO     | jarvis | __init__:66 | Database initialized at: /home/edb/JarvisWorkspace/jarvis.db
2026-07-11 20:17:57 | INFO     | jarvis | initialize_schema:160 | Database schema initialized
2026-07-11 20:17:57 | INFO     | jarvis | __init__:49 | History manager initialized
2026-07-11 20:17:57 | INFO     | jarvis | __init__:69 | Tool dispatcher initialized
2026-07-11 20:17:57 | INFO     | jarvis | __init__:53 | Ollama client initialized - URL: http://localhost:11434, Model: llama2
2026-07-11 20:17:57 | INFO     | jarvis | __init__:75 | Tool registry initialized
2026-07-11 20:17:57 | INFO     | jarvis | __init__:35 | Project manager initialized with workspace: /home/edb/JarvisWorkspace
2026-07-11 20:17:57 | INFO     | jarvis | load_projects:216 | Loaded 0 projects from workspace
2026-07-11 20:17:57 | INFO     | jarvis | __init__:23 | File manager initialized with workspace: /home/edb/JarvisWorkspace
2026-07-11 20:17:57 | INFO     | jarvis | __init__:62 | Command manager initialized with workspace: /home/edb/JarvisWorkspace
2026-07-11 20:17:57 | INFO     | jarvis | __init__:25 | Search manager initialized with workspace: /home/edb/JarvisWorkspace
2026-07-11 20:17:57 | INFO     | jarvis | __init__:20 | Path validator initialized with workspace: /home/edb/JarvisWorkspace
2026-07-11 20:17:57 | INFO     | jarvis | __init__:24 | Safety whitelist initialized
2026-07-11 20:17:57 | INFO     | jarvis | __init__:20 | Path validator initialized with workspace: /home/edb/JarvisWorkspace
2026-07-11 20:17:57 | INFO     | jarvis | __init__:24 | Safety whitelist initialized
2026-07-11 20:17:57 | INFO     | jarvis | __init__:42 | Safety validator initialized
2026-07-11 20:17:57 | INFO     | jarvis | __init__:66 | Database initialized at: /home/edb/JarvisWorkspace/jarvis.db
2026-07-11 20:17:57 | INFO     | jarvis | __init__:66 | Database initialized at: /home/edb/JarvisWorkspace/jarvis.db
2026-07-11 20:17:58 | INFO     | jarvis | initialize_schema:160 | Database schema initialized
2026-07-11 20:17:58 | INFO     | jarvis | __init__:49 | History manager initialized
2026-07-11 20:17:58 | INFO     | jarvis | __init__:75 | Tool registry initialized
2026-07-11 20:17:58 | INFO     | jarvis | __init__:20 | Path validator initialized with workspace: /home/edb/JarvisWorkspace
2026-07-11 20:17:58 | INFO     | jarvis | __init__:24 | Safety whitelist initialized
2026-07-11 20:17:58 | INFO     | jarvis | __init__:42 | Safety validator initialized
2026-07-11 20:17:58 | INFO     | jarvis | __init__:66 | Database initialized at: /home/edb/JarvisWorkspace/jarvis.db
2026-07-11 20:17:58 | INFO     | jarvis | initialize_schema:160 | Database schema initialized
2026-07-11 20:17:58 | INFO     | jarvis | __init__:49 | History manager initialized
2026-07-11 20:17:58 | INFO     | jarvis | __init__:69 | Tool dispatcher initialized
2026-07-11 20:17:58 | INFO     | jarvis | register_all_tools:14 | Registering all tools...
2026-07-11 20:17:58 | INFO     | jarvis | register_all_tools:35 | Registered 11 tools
2026-07-11 20:17:58 | INFO     | jarvis | __init__:53 | Ollama client initialized - URL: http://localhost:11434, Model: qwen2.5-coder:7b
2026-07-11 20:17:58 | INFO     | jarvis | check_connection:65 | Ollama connection successful
2026-07-11 20:17:58 | INFO     | jarvis | list_models:88 | Available models: ['qwen2.5-coder:7b']
2026-07-11 20:17:58 | INFO     | jarvis | register_all_tools:14 | Registering all tools...
2026-07-11 20:17:58 | INFO     | jarvis | register_all_tools:35 | Registered 11 tools
2026-07-11 20:17:58 | INFO     | jarvis | load_projects:216 | Loaded 0 projects from workspace
2026-07-11 20:17:58 | INFO     | jarvis | __init__:53 | Ollama client initialized - URL: http://localhost:11434, Model: qwen2.5-coder:7b
2026-07-11 20:17:58 | INFO     | jarvis | __init__:36 | Conversation history initialized (max 50 turns)
2026-07-11 20:17:58 | INFO     | jarvis | __init__:134 | Chat manager initialized
2026-07-11 20:17:58 | INFO     | jarvis | __init__:75 | Tool registry initialized
2026-07-11 20:17:58 | INFO     | jarvis | __init__:20 | Path validator initialized with workspace: /home/edb/JarvisWorkspace
2026-07-11 20:17:58 | INFO     | jarvis | __init__:24 | Safety whitelist initialized
2026-07-11 20:17:58 | INFO     | jarvis | __init__:42 | Safety validator initialized
2026-07-11 20:17:58 | INFO     | jarvis | __init__:66 | Database initialized at: /home/edb/JarvisWorkspace/jarvis.db
2026-07-11 20:17:58 | INFO     | jarvis | initialize_schema:160 | Database schema initialized
2026-07-11 20:17:58 | INFO     | jarvis | __init__:49 | History manager initialized
2026-07-11 20:17:58 | INFO     | jarvis | __init__:69 | Tool dispatcher initialized
2026-07-11 20:17:58 | INFO     | jarvis | __init__:66 | Database initialized at: /home/edb/JarvisWorkspace/jarvis.db
2026-07-11 20:17:58 | INFO     | jarvis | initialize_schema:160 | Database schema initialized
2026-07-11 20:17:58 | INFO     | jarvis | __init__:49 | History manager initialized
2026-07-11 20:17:58 | INFO     | jarvis | __init__:59 | Jarvis agent initialized
2026-07-11 20:17:58 | INFO     | jarvis | process_message_complete:148 | Processing message (complete): say hello in one short sentence
2026-07-11 20:17:58 | INFO     | jarvis | send_message_complete:194 | Processing user message (complete): say hello in one short sentence
2026-07-11 20:19:34 | ERROR    | jarvis | chat:158 | Ollama API error: 500 - {"error":"llama runner process has terminated: signal: killed"}
2026-07-11 20:19:34 | WARNING  | jarvis | parse:131 | Unknown response type: None
2026-07-11 20:19:34 | INFO     | jarvis | close:255 | Chat manager closed
2026-07-11 20:19:34 | INFO     | jarvis | close:263 | Jarvis agent closed
2026-07-11 20:20:04 | INFO     | jarvis | __init__:53 | Ollama client initialized - URL: http://localhost:11434, Model: llama2
2026-07-11 20:20:04 | INFO     | jarvis | __init__:75 | Tool registry initialized
2026-07-11 20:20:04 | INFO     | jarvis | __init__:35 | Project manager initialized with workspace: /home/edb/JarvisWorkspace
2026-07-11 20:20:04 | INFO     | jarvis | load_projects:216 | Loaded 0 projects from workspace
2026-07-11 20:20:04 | INFO     | jarvis | __init__:23 | File manager initialized with workspace: /home/edb/JarvisWorkspace
2026-07-11 20:20:04 | INFO     | jarvis | __init__:62 | Command manager initialized with workspace: /home/edb/JarvisWorkspace
2026-07-11 20:20:04 | INFO     | jarvis | __init__:25 | Search manager initialized with workspace: /home/edb/JarvisWorkspace
2026-07-11 20:20:04 | INFO     | jarvis | __init__:20 | Path validator initialized with workspace: /home/edb/JarvisWorkspace
2026-07-11 20:20:04 | INFO     | jarvis | __init__:24 | Safety whitelist initialized
2026-07-11 20:20:04 | INFO     | jarvis | __init__:20 | Path validator initialized with workspace: /home/edb/JarvisWorkspace
2026-07-11 20:20:04 | INFO     | jarvis | __init__:24 | Safety whitelist initialized
2026-07-11 20:20:04 | INFO     | jarvis | __init__:42 | Safety validator initialized
2026-07-11 20:20:04 | INFO     | jarvis | __init__:66 | Database initialized at: /home/edb/JarvisWorkspace/jarvis.db
2026-07-11 20:20:04 | INFO     | jarvis | __init__:66 | Database initialized at: /home/edb/JarvisWorkspace/jarvis.db
2026-07-11 20:20:04 | INFO     | jarvis | initialize_schema:160 | Database schema initialized
2026-07-11 20:20:04 | INFO     | jarvis | __init__:49 | History manager initialized
2026-07-11 20:20:04 | INFO     | jarvis | __init__:75 | Tool registry initialized
2026-07-11 20:20:04 | INFO     | jarvis | __init__:20 | Path validator initialized with workspace: /home/edb/JarvisWorkspace
2026-07-11 20:20:04 | INFO     | jarvis | __init__:24 | Safety whitelist initialized
2026-07-11 20:20:04 | INFO     | jarvis | __init__:42 | Safety validator initialized
2026-07-11 20:20:04 | INFO     | jarvis | __init__:66 | Database initialized at: /home/edb/JarvisWorkspace/jarvis.db
2026-07-11 20:20:04 | INFO     | jarvis | initialize_schema:160 | Database schema initialized
2026-07-11 20:20:04 | INFO     | jarvis | __init__:49 | History manager initialized
2026-07-11 20:20:04 | INFO     | jarvis | __init__:69 | Tool dispatcher initialized
2026-07-11 20:20:04 | INFO     | jarvis | register_all_tools:14 | Registering all tools...
2026-07-11 20:20:04 | INFO     | jarvis | register_all_tools:35 | Registered 11 tools
2026-07-11 20:20:04 | INFO     | jarvis | register_all_tools:14 | Registering all tools...
2026-07-11 20:20:04 | INFO     | jarvis | register_all_tools:35 | Registered 11 tools
2026-07-11 20:20:04 | INFO     | jarvis | __init__:75 | Tool registry initialized
2026-07-11 20:20:04 | INFO     | jarvis | __init__:20 | Path validator initialized with workspace: /home/edb/JarvisWorkspace
2026-07-11 20:20:04 | INFO     | jarvis | __init__:24 | Safety whitelist initialized
2026-07-11 20:20:04 | INFO     | jarvis | __init__:42 | Safety validator initialized
2026-07-11 20:20:04 | INFO     | jarvis | __init__:66 | Database initialized at: /home/edb/JarvisWorkspace/jarvis.db
2026-07-11 20:20:04 | INFO     | jarvis | initialize_schema:160 | Database schema initialized
2026-07-11 20:20:04 | INFO     | jarvis | __init__:49 | History manager initialized
2026-07-11 20:20:04 | INFO     | jarvis | __init__:69 | Tool dispatcher initialized
2026-07-11 20:20:05 | INFO     | jarvis | __init__:53 | Ollama client initialized - URL: http://localhost:11434, Model: llama2
2026-07-11 20:20:05 | INFO     | jarvis | __init__:75 | Tool registry initialized
2026-07-11 20:20:05 | INFO     | jarvis | __init__:35 | Project manager initialized with workspace: /home/edb/JarvisWorkspace
2026-07-11 20:20:05 | INFO     | jarvis | load_projects:216 | Loaded 0 projects from workspace
2026-07-11 20:20:05 | INFO     | jarvis | __init__:23 | File manager initialized with workspace: /home/edb/JarvisWorkspace
2026-07-11 20:20:05 | INFO     | jarvis | __init__:62 | Command manager initialized with workspace: /home/edb/JarvisWorkspace
2026-07-11 20:20:05 | INFO     | jarvis | __init__:25 | Search manager initialized with workspace: /home/edb/JarvisWorkspace
2026-07-11 20:20:05 | INFO     | jarvis | __init__:20 | Path validator initialized with workspace: /home/edb/JarvisWorkspace
2026-07-11 20:20:05 | INFO     | jarvis | __init__:24 | Safety whitelist initialized
2026-07-11 20:20:05 | INFO     | jarvis | __init__:20 | Path validator initialized with workspace: /home/edb/JarvisWorkspace
2026-07-11 20:20:05 | INFO     | jarvis | __init__:24 | Safety whitelist initialized
2026-07-11 20:20:05 | INFO     | jarvis | __init__:42 | Safety validator initialized
2026-07-11 20:20:05 | INFO     | jarvis | __init__:66 | Database initialized at: /home/edb/JarvisWorkspace/jarvis.db
2026-07-11 20:20:05 | INFO     | jarvis | __init__:66 | Database initialized at: /home/edb/JarvisWorkspace/jarvis.db
2026-07-11 20:20:05 | INFO     | jarvis | initialize_schema:160 | Database schema initialized
2026-07-11 20:20:05 | INFO     | jarvis | __init__:49 | History manager initialized
2026-07-11 20:20:05 | INFO     | jarvis | __init__:75 | Tool registry initialized
2026-07-11 20:20:05 | INFO     | jarvis | __init__:20 | Path validator initialized with workspace: /home/edb/JarvisWorkspace
2026-07-11 20:20:05 | INFO     | jarvis | __init__:24 | Safety whitelist initialized
2026-07-11 20:20:05 | INFO     | jarvis | __init__:42 | Safety validator initialized
2026-07-11 20:20:05 | INFO     | jarvis | __init__:66 | Database initialized at: /home/edb/JarvisWorkspace/jarvis.db
2026-07-11 20:20:05 | INFO     | jarvis | initialize_schema:160 | Database schema initialized
2026-07-11 20:20:05 | INFO     | jarvis | __init__:49 | History manager initialized
2026-07-11 20:20:05 | INFO     | jarvis | __init__:69 | Tool dispatcher initialized
2026-07-11 20:20:05 | INFO     | jarvis | register_all_tools:14 | Registering all tools...
2026-07-11 20:20:05 | INFO     | jarvis | register_all_tools:35 | Registered 11 tools
2026-07-11 20:20:05 | INFO     | jarvis | __init__:53 | Ollama client initialized - URL: http://localhost:11434, Model: qwen2.5-coder:7b
2026-07-11 20:20:05 | INFO     | jarvis | check_connection:65 | Ollama connection successful
2026-07-11 20:20:05 | INFO     | jarvis | list_models:88 | Available models: ['qwen2.5-coder:7b']
2026-07-11 20:20:05 | INFO     | jarvis | register_all_tools:14 | Registering all tools...
2026-07-11 20:20:05 | INFO     | jarvis | register_all_tools:35 | Registered 11 tools
2026-07-11 20:20:05 | INFO     | jarvis | load_projects:216 | Loaded 0 projects from workspace
2026-07-11 20:20:05 | INFO     | jarvis | __init__:53 | Ollama client initialized - URL: http://localhost:11434, Model: qwen2.5-coder:7b
2026-07-11 20:20:05 | INFO     | jarvis | __init__:36 | Conversation history initialized (max 50 turns)
2026-07-11 20:20:05 | INFO     | jarvis | __init__:134 | Chat manager initialized
2026-07-11 20:20:05 | INFO     | jarvis | __init__:75 | Tool registry initialized
2026-07-11 20:20:05 | INFO     | jarvis | __init__:20 | Path validator initialized with workspace: /home/edb/JarvisWorkspace
2026-07-11 20:20:05 | INFO     | jarvis | __init__:24 | Safety whitelist initialized
2026-07-11 20:20:05 | INFO     | jarvis | __init__:42 | Safety validator initialized
2026-07-11 20:20:05 | INFO     | jarvis | __init__:66 | Database initialized at: /home/edb/JarvisWorkspace/jarvis.db
2026-07-11 20:20:05 | INFO     | jarvis | initialize_schema:160 | Database schema initialized
2026-07-11 20:20:05 | INFO     | jarvis | __init__:49 | History manager initialized
2026-07-11 20:20:05 | INFO     | jarvis | __init__:69 | Tool dispatcher initialized
2026-07-11 20:20:05 | INFO     | jarvis | __init__:66 | Database initialized at: /home/edb/JarvisWorkspace/jarvis.db
2026-07-11 20:20:05 | INFO     | jarvis | initialize_schema:160 | Database schema initialized
2026-07-11 20:20:05 | INFO     | jarvis | __init__:49 | History manager initialized
2026-07-11 20:20:05 | INFO     | jarvis | __init__:59 | Jarvis agent initialized
2026-07-11 20:20:05 | INFO     | jarvis | process_message_complete:148 | Processing message (complete): say hello in one short sentence
2026-07-11 20:20:05 | INFO     | jarvis | send_message_complete:194 | Processing user message (complete): say hello in one short sentence
2026-07-11 20:20:29 | ERROR    | jarvis | chat:158 | Ollama API error: 500 - {"error":"llama runner process has terminated: signal: killed"}
2026-07-11 20:20:29 | WARNING  | jarvis | parse:131 | Unknown response type: None
2026-07-11 20:20:29 | INFO     | jarvis | close:255 | Chat manager closed
2026-07-11 20:20:29 | INFO     | jarvis | close:263 | Jarvis agent closed
2026-07-11 20:20:46 | INFO     | jarvis | __init__:53 | Ollama client initialized - URL: http://localhost:11434, Model: llama2
2026-07-11 20:20:46 | INFO     | jarvis | __init__:75 | Tool registry initialized
2026-07-11 20:20:46 | INFO     | jarvis | __init__:35 | Project manager initialized with workspace: /home/edb/JarvisWorkspace
2026-07-11 20:20:46 | INFO     | jarvis | load_projects:216 | Loaded 0 projects from workspace
2026-07-11 20:20:46 | INFO     | jarvis | __init__:23 | File manager initialized with workspace: /home/edb/JarvisWorkspace
2026-07-11 20:20:46 | INFO     | jarvis | __init__:62 | Command manager initialized with workspace: /home/edb/JarvisWorkspace
2026-07-11 20:20:46 | INFO     | jarvis | __init__:25 | Search manager initialized with workspace: /home/edb/JarvisWorkspace
2026-07-11 20:20:46 | INFO     | jarvis | __init__:20 | Path validator initialized with workspace: /home/edb/JarvisWorkspace
2026-07-11 20:20:46 | INFO     | jarvis | __init__:24 | Safety whitelist initialized
2026-07-11 20:20:46 | INFO     | jarvis | __init__:20 | Path validator initialized with workspace: /home/edb/JarvisWorkspace
2026-07-11 20:20:46 | INFO     | jarvis | __init__:24 | Safety whitelist initialized
2026-07-11 20:20:46 | INFO     | jarvis | __init__:42 | Safety validator initialized
2026-07-11 20:20:46 | INFO     | jarvis | __init__:66 | Database initialized at: /home/edb/JarvisWorkspace/jarvis.db
2026-07-11 20:20:46 | INFO     | jarvis | __init__:66 | Database initialized at: /home/edb/JarvisWorkspace/jarvis.db
2026-07-11 20:20:46 | INFO     | jarvis | initialize_schema:160 | Database schema initialized
2026-07-11 20:20:46 | INFO     | jarvis | __init__:49 | History manager initialized
2026-07-11 20:20:46 | INFO     | jarvis | __init__:20 | Path validator initialized with workspace: /home/edb/JarvisWorkspace
2026-07-11 20:20:46 | INFO     | jarvis | __init__:24 | Safety whitelist initialized
2026-07-11 20:20:46 | INFO     | jarvis | __init__:42 | Safety validator initialized
2026-07-11 20:20:46 | INFO     | jarvis | __init__:66 | Database initialized at: /home/edb/JarvisWorkspace/jarvis.db
2026-07-11 20:20:46 | INFO     | jarvis | initialize_schema:160 | Database schema initialized
2026-07-11 20:20:46 | INFO     | jarvis | __init__:49 | History manager initialized
2026-07-11 20:20:46 | INFO     | jarvis | __init__:69 | Tool dispatcher initialized
2026-07-11 20:20:46 | INFO     | jarvis | register_all_tools:14 | Registering all tools...
2026-07-11 20:20:46 | INFO     | jarvis | register_all_tools:35 | Registered 11 tools
2026-07-11 20:20:46 | INFO     | jarvis | register_all_tools:14 | Registering all tools...
2026-07-11 20:20:46 | INFO     | jarvis | register_all_tools:35 | Registered 11 tools
2026-07-11 20:20:46 | INFO     | jarvis | __init__:20 | Path validator initialized with workspace: /home/edb/JarvisWorkspace
2026-07-11 20:20:46 | INFO     | jarvis | __init__:24 | Safety whitelist initialized
2026-07-11 20:20:46 | INFO     | jarvis | __init__:42 | Safety validator initialized
2026-07-11 20:20:46 | INFO     | jarvis | __init__:66 | Database initialized at: /home/edb/JarvisWorkspace/jarvis.db
2026-07-11 20:20:46 | INFO     | jarvis | initialize_schema:160 | Database schema initialized
2026-07-11 20:20:46 | INFO     | jarvis | __init__:49 | History manager initialized
2026-07-11 20:20:46 | INFO     | jarvis | __init__:69 | Tool dispatcher initialized
2026-07-11 20:20:56 | INFO     | jarvis | __init__:53 | Ollama client initialized - URL: http://localhost:11434, Model: llama2
2026-07-11 20:20:56 | INFO     | jarvis | __init__:75 | Tool registry initialized
2026-07-11 20:20:56 | INFO     | jarvis | __init__:35 | Project manager initialized with workspace: /home/edb/JarvisWorkspace
2026-07-11 20:20:56 | INFO     | jarvis | load_projects:216 | Loaded 0 projects from workspace
2026-07-11 20:20:56 | INFO     | jarvis | __init__:23 | File manager initialized with workspace: /home/edb/JarvisWorkspace
2026-07-11 20:20:56 | INFO     | jarvis | __init__:62 | Command manager initialized with workspace: /home/edb/JarvisWorkspace
2026-07-11 20:20:56 | INFO     | jarvis | __init__:25 | Search manager initialized with workspace: /home/edb/JarvisWorkspace
2026-07-11 20:20:56 | INFO     | jarvis | register_all_tools:14 | Registering all tools...
2026-07-11 20:20:56 | INFO     | jarvis | register_all_tools:35 | Registered 11 tools
2026-07-11 20:20:56 | INFO     | jarvis | __init__:20 | Path validator initialized with workspace: /home/edb/JarvisWorkspace
2026-07-11 20:20:56 | INFO     | jarvis | __init__:24 | Safety whitelist initialized
2026-07-11 20:20:56 | INFO     | jarvis | __init__:20 | Path validator initialized with workspace: /home/edb/JarvisWorkspace
2026-07-11 20:20:56 | INFO     | jarvis | __init__:24 | Safety whitelist initialized
2026-07-11 20:20:56 | INFO     | jarvis | __init__:42 | Safety validator initialized
2026-07-11 20:20:56 | INFO     | jarvis | __init__:66 | Database initialized at: /home/edb/JarvisWorkspace/jarvis.db
2026-07-11 20:20:56 | INFO     | jarvis | __init__:66 | Database initialized at: /home/edb/JarvisWorkspace/jarvis.db
2026-07-11 20:20:56 | INFO     | jarvis | initialize_schema:160 | Database schema initialized
2026-07-11 20:20:56 | INFO     | jarvis | __init__:49 | History manager initialized
2026-07-11 20:20:56 | INFO     | jarvis | __init__:20 | Path validator initialized with workspace: /home/edb/JarvisWorkspace
2026-07-11 20:20:56 | INFO     | jarvis | __init__:24 | Safety whitelist initialized
2026-07-11 20:20:56 | INFO     | jarvis | __init__:42 | Safety validator initialized
2026-07-11 20:20:56 | INFO     | jarvis | __init__:66 | Database initialized at: /home/edb/JarvisWorkspace/jarvis.db
2026-07-11 20:20:56 | INFO     | jarvis | initialize_schema:160 | Database schema initialized
2026-07-11 20:20:56 | INFO     | jarvis | __init__:49 | History manager initialized
2026-07-11 20:20:56 | INFO     | jarvis | __init__:70 | Tool dispatcher initialized
2026-07-11 20:20:56 | INFO     | jarvis | __init__:53 | Ollama client initialized - URL: http://localhost:11434, Model: llama2
2026-07-11 20:20:56 | INFO     | jarvis | check_connection:65 | Ollama connection successful
2026-07-11 20:20:56 | INFO     | jarvis | list_models:88 | Available models: ['qwen2.5-coder:7b']
2026-07-11 20:29:30 | INFO     | jarvis | __init__:53 | Ollama client initialized - URL: http://localhost:11434, Model: llama2
2026-07-11 20:29:30 | INFO     | jarvis | __init__:75 | Tool registry initialized
2026-07-11 20:29:30 | INFO     | jarvis | __init__:35 | Project manager initialized with workspace: /home/edb/JarvisWorkspace
2026-07-11 20:29:30 | INFO     | jarvis | load_projects:216 | Loaded 0 projects from workspace
2026-07-11 20:29:30 | INFO     | jarvis | __init__:23 | File manager initialized with workspace: /home/edb/JarvisWorkspace
2026-07-11 20:29:30 | INFO     | jarvis | __init__:62 | Command manager initialized with workspace: /home/edb/JarvisWorkspace
2026-07-11 20:29:30 | INFO     | jarvis | __init__:25 | Search manager initialized with workspace: /home/edb/JarvisWorkspace
2026-07-11 20:29:30 | INFO     | jarvis | register_all_tools:14 | Registering all tools...
2026-07-11 20:29:30 | INFO     | jarvis | register_all_tools:35 | Registered 11 tools
2026-07-11 20:29:30 | INFO     | jarvis | __init__:20 | Path validator initialized with workspace: /home/edb/JarvisWorkspace
2026-07-11 20:29:30 | INFO     | jarvis | __init__:24 | Safety whitelist initialized
2026-07-11 20:29:30 | INFO     | jarvis | __init__:20 | Path validator initialized with workspace: /home/edb/JarvisWorkspace
2026-07-11 20:29:30 | INFO     | jarvis | __init__:24 | Safety whitelist initialized
2026-07-11 20:29:30 | INFO     | jarvis | __init__:42 | Safety validator initialized
2026-07-11 20:29:30 | INFO     | jarvis | __init__:66 | Database initialized at: /home/edb/JarvisWorkspace/jarvis.db
2026-07-11 20:29:30 | INFO     | jarvis | __init__:66 | Database initialized at: /home/edb/JarvisWorkspace/jarvis.db
2026-07-11 20:29:30 | INFO     | jarvis | initialize_schema:160 | Database schema initialized
2026-07-11 20:29:30 | INFO     | jarvis | __init__:49 | History manager initialized
